id;name;image;search;twitter;twitter2;instagram
86;Juana Acosta;juana-acosta.jpg;Juana Acosta, juana_acosta;https://twitter.com/juana_acosta;;http://instagram.com/juana_acosta
87;Pilar Rubio;pilar-rubio.jpg;Pilar Rubio, PilarRubio_;https://twitter.com/PilarRubio_;;http://instagram.com/PilarRubio_
88;Santi Millan;santi_millan.jpg;Santi Millan, Santi_Millan;https://twitter.com/Santi_Millan;;
89;Irene Montala;irene-montala.jpg;Irene Montala, Irene_montala_;https://twitter.com/Irene_montala_;;http://instagram.com/irenemontala
90;Martin Rivas;martin_rivas.jpg;Martin Rivas, martinrivas25;https://twitter.com/martinrivas25;;
91;Aitor Luna;aitor_luna.jpg;Aitor Luna, aitor__luna;https://twitter.com/aitor__luna;;http://instagram.com/aitorluna1
92;Bárbara Goenaga;barbara-goenaga.jpg;BarbaraGoenaga;https://twitter.com/BarbaraGoenaga;;http://instagram.com/BarbaraGoenaga
93;Sandra Cervera;sandra-cervera.jpg;Sandra Cervera, sandracerverap;https://twitter.com/sandracerverap;;
94;Premios Goya;;PremiosGoyaEs;https://twitter.com/PremiosGoyaEs;;
95;Academia de cine;;AcademiaCineEs;https://twitter.com/AcademiaCineEs;;
96;Alex de la Iglesia;alex-delaiglesia.jpg;Alex de la Iglesia, alexdelaIglesia;https://twitter.com/alexdelaIglesia;;http://instagram.com/alexdelaIglesia
97;Verónica Echegui;veronica-echegui.jpg;Verónica Echegui, VEchegui;https://twitter.com/VEchegui;;http://instagram.com/VEchegui
98;Leticia Dolera;leticia-dolera.jpg;Leticia Dolera, LeticiaDolera;https://twitter.com/LeticiaDolera;;
99;Natalia Verbeke;natalia-verbeke.jpg;Natalia Verbeke, Laverbeke;https://twitter.com/Laverbeke;;http://instagram.com/nataliaverbeke
100;Clara Lago;clara-lago.jpg;Clara Lago, ClaraLago1;https://twitter.com/ClaraLago1;;http://instagram.com/ClaraLago1
101;Adriana Ugarte;adriana-ugarte.jpg;Adriana Ugarte, adrianaugarte10;https://twitter.com/adrianaugarte10;;http://instagram.com/adrianaugarte10
102;Úrsula Corberó;ursula-corbero.jpg;Úrsula Corberó, ursulolita;https://twitter.com/ursulolita;;http://instagram.com/ursulolita
103;María Valverde;maria-valverde.jpg;María Valverde, mariavalverde;https://twitter.com/mariavalverde;;
104;Mario Casas;mario-casas.jpg;Mario Casas, mario_casas_;https://twitter.com/mario_casas_;;http://instagram.com/mario__casas
105;Miguel Angel Silvestre;miguelangel-silvestre.jpg;Miguel Angel Silvestre, ma_silvestre;https://twitter.com/ma_silvestre;;http://instagram.com/miguelangelsilvestre
106;Asier Etxeandia;asier-etxeandia.jpg;Asier Etxeandia, asieretxeandia;https://twitter.com/asieretxeandia;;
107;David Delfin;;David Delfin, davidelfin_co;https://twitter.com/davidelfin_co;;http://instagram.com/davidelfin_co
108;Pelayo Díaz;;Pelayo Díaz, princepelayo;https://twitter.com/princepelayo;;http://instagram.com/princepelayo
109;Bimba Bosé;;Bimba Bosé, bimbasecas;https://twitter.com/bimbasecas;;http://instagram.com/bimbasecas
110;Belén Rueda;belen-rueda;Belén Rueda;;;
111;Alejandro Amenábar;alejandro-amenabar;Alejandro Amenábar;;;
112;Aída Folch;aida-folch;Aída Folch, AidaFolch1;https://twitter.com/AidaFolch1;;http://instagram.com/aidafolch
